Sr No,Image File,Caption,20516,img2/insta20516,wHaT dAy Is It Even #stayhomeclub
36.0,img/insta36,My first number 1!! This song is so dear to my heart. I’ve been working so hard to make this album as honest and fun as possible while remaining vulnerable enough to share where I am in life. I love you deeply and thank you so much for listening. I want to thank each and every person that was apart of this moment that I’ll never forget! ,,,
37.0,img/insta37,I miss when was a bear ,,,
38.0,img/insta38,Family photos ,,,
39.0,img/insta39,Honestly my mom really killed it on my costumes growing up... Happy halloween!! 🎃🕸🖤 ,,,
40.0,img/insta40,"Georgia, Toronto, Texas met in NY for a quick night 😋 ",,,
41.0,img/insta41,Getting to celebrate this chapter with my friends means so much to me 🥰 ,,,
42.0,img/insta42,Some of my favorite moments on set ❤️ ,,,
43.0,img/insta43,I went to Interscope today to thank everyone for all they do for me! They surprised me with a few plaques from the last few years. BUT my favorite part of today was showing a few fans my music and the video. I’m SO grateful for the love and support I’ve had through out the years. Love you ,,,
44.0,img/insta44,Made her more of a woman. ,,,
45.0,img/insta45,You promised the world. ,,,
46.0,img/insta46,I needed to lose you to love me. 10.23. Link in bio. ,,,
47.0,img/insta47,I gave my all and they all know it. ,,,
48.0,img/insta48,Rose colored glasses all distorted. ,,,
49.0,img/insta49,We always go into it blindly. ,,,
50.0,img/insta50,"Me, all the time ",,,
51.0,img/insta51,Happy birthday to my sweet angel -beyond proud of the man you’ve become. 21!! ,,,
52.0,img/insta52,"Such an honor to share this project with some of my family and friends last night and to introduce them to the amazing, courageous people who shared their stories in the documentary. Grateful to play a part in getting this out into the world. ❤️ ",,,
53.0,img/insta53,"My dream come true. My friends surprised me on my birthday with a taping of shark tank and it finally happened!! Thank you so much for all being so kind, funny and genuine 🦈 ",,,
54.0,img/insta54,My Boston photo diary 💜🌈 thank you for being so warm and welcoming to me while I was there!! I had the best time meeting so many of you ,,,
55.0,img/insta55,So humbled to have been part of the incredible McLean Hospital’s Annual Dinner and was honored to be able to share a bit of my story. Thank you Dr. Rauch for inviting me and spending time speaking with me about mental health. And thank you to all the amazing staff at McLean. And a huge thank you to David O Russell for connecting me with these amazing humans. These are the moments where I am so grateful for the platform God has given me. ❤️ ,,,
56.0,img/insta56,Apparently my heart was very conflicted between Juan and Cole Sprouse when I was 11.. ,,,
57.0,img/insta57,"After a whole summer of being roommates, Anna, Fox and Freddy have gone home and I’m missing them already. I get to live life with the best people. I’m pretty freaking lucky. ",,,
58.0,img/insta58,"Wednesdays, a huge bright blue comfy and Winnie. ☀️ ",,,
59.0,img/insta59,"All kinds of magic ✨🌈 thank you, for your heart, your insane humor and your words. We laughed, cried and danced. 💕 ",,,
60.0,img/insta60,Siri play “I wanna be your lover” ,,,
61.0,img/insta61,LQDCELL Shatter 👟👟 by ❤️ ,,,
62.0,img/insta62,Sometimes I can’t express how truly grateful I am. Now.. Back to work. ,,,
63.0,img/insta63,"Me, Italy -trying desperately to look like a Fellini film ",,,
64.0,img/insta64,Well I’m 27 now. I wanted to thank each and every one of you for your words on my bday. Not just the quick notes. The thought that goes behind every word you write usually ends up with me crying grateful tears like I did last night. Praying for all of you!! I LOVE YOU ,,,
65.0,img/insta65,Kids in cages! Sleeping on concrete floors with aluminum blankets! No access to simple dignities! How is this still happening??? It’s absolutely inhumane to treat anyone like this let alone children. I can’t even imagine what they are going through. We need to get this to finally stop! Don’t stay silent on this human rights issue- please call your reps 202.224.3121 ,,,
66.0,img/insta66,Living in my Cali Bolds for summer. ,,,
67.0,img/insta67,When Olivia is a star and Paul wears your face on a shirt (btw if you haven’t seen Olivia’s movie Booksmart I don’t understand you) ,,,
68.0,img/insta68,All combo -biker jacket and butterfly parker bag ,,,
69.0,img/insta69,"To see what is happening right now in Alabama, Georgia, Mississippi and several other states in our country is not only deeply upsetting but seems that it can’t possibly be real in 2019. It’s no one’s business what a woman chooses to do with her body. End of story. If you want to help fight this, click on the link in my bio to find out how you can volunteer or make a donation. ",,,
70.0,img/insta70,My first time in Cannes! I’m so honored to have been a part of this movie with Jim and the whole cast. By the way Bill Murray and I are getting married. ,,,
71.0,img/insta71,Been working hard on a new collection with my fam. Launches today ✈️ ,,,
72.0,img/insta72,hi Cannes...you’re very pretty ,,,
73.0,img/insta73,I owe my life to you momma ,,,
74.0,img/insta74,studio diva ,,,
76.0,img/insta76,"Yesterday at the Empowerment in Entertainment event, I had the honor to meet some of the brightest students who might never have imagined a career in Hollywood as they were given the opportunity to go to college and work with mentors in the industry. Thank you to the most courageous, brave, intellectual, strong, beautiful spirit that is Oprah for caring so much about empowering all walks of life but more importantly for being the action and not just standing behind the word. You DO it. Thank you for continually inspiring us to be kinder, greater and stretching all the boundaries for the better. “From everyone to whom much has been given, much will be required.” ",,,
77.0,img/insta77,"I met Theresa 5 years ago. We worked together and became best friends. She has taught me how to see life in a fun, carefree and uplifting way. She has shown me how to be a strong and fearless woman. She is beautiful, kind and smart. I saw how capable she was of achieving her dreams. I wanted nothing more than to see her pursue them and soar. And here you are making it happen T. I love you and I am so proud of you. ",,,
78.0,img/insta78,Coachella for the night with T ,,,
80.0,img/insta80,Loving my new Dreamer bag. ,,,
81.0,img/insta81,throw b ,,,
82.0,img/insta82,New season. New Parker. Same Fam. ,,,
83.0,img/insta83,I Can’t Get Enough video is out now. Can’t believe we pulled it off in one take- even if I did fall once or twice trying. ,,,
84.0,img/insta84,familia ,,,
85.0,img/insta85,I Can’t Get Enough is out now! Link in bio ,,,
86.0,img/insta86,Back on set with Always in my Cali. ,,,
87.0,img/insta87,"My best friend is getting married, so we celebrated her! Future Mrs. Lopez ",,,
88.0,img/insta88,My sweet soul sister. Julia you have been a huge part of my life. You have taught me how to have courage when I have self doubt. This song is extremely close to my heart as I’ve experienced anxiety and know a lot of my friends do too. You’re never alone if you feel this way. The message is much needed and I really hope you guys like it! ,,,
89.0,img/insta89,Lots to look forward to in 2019. I can’t wait to share the projects I’ve been working on with you. The first one is here: Cali 👟 BY ,,,
90.0,img/insta90,"It’s been awhile since you have heard from me, but I wanted to wish everyone a happy new year and to thank you for your love and support. Last year was definitely a year of self-reflection, challenges and growth. It’s always those challenges which show you who you are and what you are capable of overcoming. Trust me, it’s not easy, but I am proud of the person I am becoming and look forward to the year ahead. Love you all. ",,,
91.0,img/insta91,"Mood lol (I was looking at myself in the mirror -like an idiot!) Update: taking a social media break. Again. As much as I am grateful for the voice that social media gives each of us, I am equally grateful to be able to step back and live my life present to the moment I have been given. Kindness and encouragement only for a bit! Just remember- negative comments can hurt anybody’s feelings. Obvi. ",,,
92.0,img/insta92,🖤 ,,,
94.0,img/insta94,is my real life Barbie. She makes all my stuff look cooler 💕sweater: and rocking cute ,,,
95.0,img/insta95,"Alright. Speaking from my heart for over an hour to someone who puts those thoughts into paid words can be hard for me. The older I get the more I want my voice to be mine. This is all apart of my work within an industry that’s been around longer than all of us have been. The purpose of my interview was three fold. My work with A21, my new collection with Coach, and some new music. As I’m aware there will always be interests in one’s personal life because that’s the pace of our ‘social’ generation. I’m grateful for my position and I will always find ways to make my job more about others and giving back— all while having the best time with my music, fashion, film and my love for learning about the world that I’m eager to tap into more and more. Church is a name for something far more personal. There’s always agenda seeking information on such a subject and I understand why. Rarely do I mention church (and I didn’t) but I’ll always feel comfortable talking about my values and beliefs. I respect that from everyone and anyone. I understand that reporters are working to grab the attention of a reader, however I will always work to ensure that what is public represents my truth. I’m a bit bummed but rarely surprised. Y’all know me and my heart. I can’t help it. So I’ll post some of MY photos from the collection and work with A21. My heart. And maybe edit my actual lyrics as you will all hear it soon 😊 I love you guys to the moon and back. For more information on the work I do with A21 please, please visit link in my bio. So much more on that soon! ",,,
96.0,img/insta96,"Alright. Speaking from my heart for over an hour to someone who puts those thoughts into paid words can be hard for me. The older I get the more I want my voice to be mine. This is all apart of my work within an industry that’s been around longer than all of us have been. The purpose of my interview was three fold. My work with A21, my new collection with Coach, and some new music. As I’m aware there will always be interests in one’s personal life because that’s the pace of our ‘social’ generation. I’m grateful for my position and I will always find ways to make my job more about others and giving back— all while having the best time with my music, fashion, film and my love for learning about the world that I’m eager to tap into more and more. Church is a name for something far more personal. There’s always agenda seeking information on such a subject and I understand why. Rarely do I mention church (and I didn’t) but I’ll always feel comfortable talking about my values and beliefs. I respect that from everyone and anyone. I understand that reporters are working to grab the attention of a reader, however I will always work to ensure that what is public represents my truth. I’m a bit bummed but rarely surprised. Y’all know me and my heart. I can’t help it. So I’ll post some of MY photos from the collection and work with A21. My heart. And maybe edit my actual lyrics as you will all hear it soon 😊 I love you guys to the moon and back. For more information on the work I do with A21 please, please visit link in my bio. So much more on that soon! ",,,
97.0,img/insta97,"Alright. Speaking from my heart for over an hour to someone who puts those thoughts into paid words can be hard for me. The older I get the more I want my voice to be mine. This is all apart of my work within an industry that’s been around longer than all of us have been. The purpose of my interview was three fold. My work with A21, my new collection with Coach, and some new music. As I’m aware there will always be interests in one’s personal life because that’s the pace of our ‘social’ generation. I’m grateful for my position and I will always find ways to make my job more about others and giving back— all while having the best time with my music, fashion, film and my love for learning about the world that I’m eager to tap into more and more. Church is a name for something far more personal. There’s always agenda seeking information on such a subject and I understand why. Rarely do I mention church (and I didn’t) , but I’ll always feel comfortable talking about my values and beliefs. I respect that from everyone and anyone. I understand that reporters are working to grab the attention of a reader, however I will always work to ensure that what is public represents my truth. I’m a bit bummed but rarely surprised. Y’all know me and my heart. I can’t help it. So I’ll post some of MY photos from the collection and work with A21. My heart. And maybe edit my actual lyrics as you will all hear it soon 😊 I love you guys to the moon and back. For more information on the work I do with A21 please, please visit link in my bio. So much more on that soon! ",,,
98.0,img/insta98,today was so fun ,,,
99.0,img/insta99,"A few of my favorite things in the entire world!!! UPDATE: I had something I’ve thought about for a while that I want to share. This page is my highlights and a few low lights. I post what I am willing to share with you guys. I hear people say all the time that they wish they had someone else’s life based on a few pictures.. we all do it. But this is me sharing some happy moments with you guys. Trust me, my life isn’t always this filtered and flowery... We are all on our own journey. 🌻 ",,,
100.0,img/insta100,"And lastly, my actual you are an incredible woman. The way you handle life’s most confusing moments is indescribable and graceful. You are moved by the littlest stories to the most heartbreaking ones, you will give someone your perfume if they say you smell nice, you are freaking hilarious and always stand firm in your faith, a loving sister, an amazing friend and a beautiful daughter. You are the definition of FEARFULLY and WONDERFULLY made baby! ",,,
101.0,img/insta101,"Best friend turned 26. Part 2. because these women have stayed by my side for 7 years 12 years) 4, because you are my 4 for the rest of my life. I love you ladies. You all inspire me to be better, stronger, closer to god and we have lived the most INSANE story together already. Can’t wait for 50 more!! Ps had an actual panic attack 🙄 it’s a dot! 🤦🏽‍♀️ ",,,
102.0,img/insta102,My best friend turned 26. Part one. ,,,
104.0,img/insta104,"trying out my new Selena bags with my friends. We went jumping on trampolines. Love y’all! “not perfect, always me” ",,,
105.0,img/insta105,So excited to be a part of the WE Day inspiration once again! 💙 Watch on ABC August 17 at 8/7c – you won’t want to miss Nellie’s story! ,,,
106.0,img/insta106,Hey fam- It’s almost here! First look at my new campaign. My exclusive clothing collection drops in a couple weeks. ,,,
107.0,img/insta107,randoms and film. ,,,
108.0,img/insta108,life ,,,
109.0,img/insta109,Another year down.. Thank you for all the bday love. I couldn’t be more appreciative of you and my best friends for celebrating with me. I love you guys like crazy! God bless! ,,,
111.0,img/insta111,So excited for everyone to finally see the latest chapter of - it’s out now!!! So much fun getting the fam back together ,,,
113.0,img/insta113,Striking a pose in the new Defy Mid. ,,,
114.0,img/insta114,Hope everyone had a great 4th of July! Spent mine with some of my favorite people ❤️ ,,,
121.0,img/insta121,Introducing DEFY- my latest campaign with ,,,
122.0,img/insta122,I’m grateful for those I surround myself with. And this woman right here happens to be one of my favorites. Love our tradition and I love you. ,,,
123.0,img/insta123,You’re stuck in my head and I can’t get you out of it. ,,,
124.0,img/insta124,I wanna hold you when I’m not supposed to... ,,,
125.0,img/insta125,"Out May 10th, part of the S2 soundtrack. I’m so excited for you guys to hear it❣️ ",,,
126.0,img/insta126,Always need a subtle change. Germany family time 😊 grateful for the welcome! ,,,
127.0,img/insta127,"Decided to come to Germany to meet my family and THANK THEM and THANK YOU for my first shoe collab being sold out!! 😊 also for every shoe you bought, you gave to the lupus alliance foundation a donation! ",,,
128.0,img/insta128,"A while back I had the honor of being apart of the global citizen concert by having these amazing young men sing my song kill em with kindness in an epically, beautiful way. My heart was legit exploding to see them today!! ",,,
129.0,img/insta129,-my sixth year doing this incredible show. They have such a force of young people that are doing so much for their communities and the world. This is Nellie. She’s fearless and is wanting to spread awareness about kidney diseases. ,,,
131.0,img/insta131,Photo wall opportunity with the Parker bag ,,,
133.0,img/insta133,"I don't want this to just be an Instagram post anymore. PLEASE. ENOUGH. These people, families and CHILDREN have suffered enough. Today we march for our lives. I'm going to continue to trust god with the future and also play my part in bringing change. ",,,
134.0,img/insta134,"I don't want this to just be an Instagram post anymore. PLEASE. ENOUGH. These people, families and CHILDREN have suffered enough. Today we march for our lives. I'm going to continue to trust god with the future and also play my part in bringing change. ",,,
135.0,img/insta135,"I don't want this to just be an Instagram post anymore. PLEASE. ENOUGH. These people, families and CHILDREN have suffered enough. Today we march for our lives. I'm going to continue to trust god with the future and also play my part in bringing change. ",,,
136.0,img/insta136,JO JO you're insane. Thank you from the bottom of my heart. I walked into my home to this! ,,,
137.0,img/insta137,"Protect kids, not guns! ",,,
138.0,img/insta138,"Fam, my second collection for is going to include clothes! So grateful I got to work on this with Can’t wait to show you this fall. ",,,
140.0,img/insta140,Thank you and And so grateful to for the interview- link in bio. Wearing by And also thanks to my team 😍 ,,,
142.0,img/insta142,"The home I grew up in, from birth to 13... (no one was home when I knocked this time lol) I visit this place every chance I get. In many ways it very well could have been better than my life today, but I’m grateful for a voice that can enable change today. Even when I don’t know how to do it well or actually want it. I love you Grand Prairie. Thank you. ❤️ ",,,
143.0,img/insta143,A New Year’s first just for you guys- I’m so excited to reveal my new campaign. ,,,
144.0,img/insta144,"It’s time to shift the balance in the workplace, from representing the few to representing us all. ",,,
145.0,img/insta145,"AND to this gorgeous, kind hearted lady. You endured this character with such strength and softness. I am so proud you are being acknowledged for doing just that! GOLDEN GLOBE NOMINEE!!! Ladies are shining! ",,,
146.0,img/insta146,"And this year wraps up with another committed journey with -Season 2 is coming. To every person on this project, thank you for coming back. Good or bad we are committed to having the tough conversations, to telling the story that can start change. ",,,
147.0,img/insta147,Currently. Until the next year. Here’s where I’ll be. ,,,
148.0,img/insta148,Thank you beyond for your acknowledgment and honor but honestly thank you more for the event you held for women. That night was so inspiring and every woman spoke eloquently and with such force. I’ll try to continue to give my best to even remotely live up to a title. In the mean time I hope we all continue to give our best when the world wants to give us the worst. We aren’t stopping the fight. ,,,
149.0,img/insta149,thank you for being apart of this phase can’t wait for the next ,,,
150.0,img/insta150,all apologies ,,,
151.0,img/insta151,i stole from my sister ,,,
152.0,img/insta152,Guys- I'm so excited to share my first campaign for the new Phenom. ,,,
155.0,img/insta155,so i am blonde now ,,,
156.0,img/insta156,Looked for love in every stranger ,,,
157.0,img/insta157,Tonight ,,,
158.0,img/insta158,American Music Awards ,,,
159.0,img/insta159,sunday. AMAs. ,,,
160.0,img/insta160,🌙 ,,,
161.0,img/insta161,Wolves 🌑 ,,,
162.0,img/insta162,been crying with the wolves to get to you ,,,
163.0,img/insta163,"Blindly I am following, break down these walls and come on in ",,,
164.0,img/insta164,Wolves video out now on apple -thank you to my Bay Area fam ,,,
165.0,img/insta165,Wolves is out now! 🐺🐺 ,,,
166.0,img/insta166,Wolves is out now! 🐺🐺 ,,,
167.0,img/insta167,🐺🐺 ,,,
168.0,img/insta168,🐺🐺 ,,,
169.0,img/insta169,🐺🐺 ,,,
170.0,img/insta170,"I've been running through the jungle, I've been crying with the wolves... 10.25 ",,,
171.0,img/insta171,10.25 ,,,
172.0,img/insta172,Coming 10.25… WOLVES x ,,,
173.0,img/insta173,Momma and I ,,,
174.0,img/insta174,Join all of us right now!!! and on -we are one ,,,
175.0,img/insta175,Officially a part of the fam ,,,
176.0,img/insta176,"I’m very aware some of my fans had noticed I was laying low for part of the summer and questioning why I wasn’t promoting my new music, which I was extremely proud of. So I found out I needed to get a kidney transplant due to my Lupus and was recovering. It was what I needed to do for my overall health. I honestly look forward to sharing with you, soon my journey through these past several months as I have always wanted to do with you. Until then I want to publicly thank my family and incredible team of doctors for everything they have done for me prior to and post-surgery. And finally, there aren’t words to describe how I can possibly thank my beautiful friend Francia Raisa. She gave me the ultimate gift and sacrifice by donating her kidney to me. I am incredibly blessed. I love you so much sis. Lupus continues to be very misunderstood but progress is being made. For more information regarding Lupus please go to the Lupus Research Alliance website: www.lupusresearch.org/ -by grace through faith ",,,
178.0,img/insta178,"Sometimes it's incredibly difficult to wake up every day knowing there is so much going on in the world. At times I feel selfish, I ask why, I ask how can this change? Will it actually ever change? I try to contribute my heart before anything because it can be so easy to lose the desire to have hope when sometimes all I want to be is angry. When I read about the beautiful women who wake up consciously every day to make a change, it inspires me to want to do so much more. Not really sure how I got so lucky but thank you for highlighting the power of what we can and will always strive to be. I believe in the goodness in the land of the living. I hope this is just the beginning of more change. ",,,
179.0,img/insta179,Thank you for letting me be apart of the 5th annual print edition. Very grateful ,,,
183.0,img/insta183,It’s been so much fun working with and on designing my very own bag: the Selena Grace. Come see it and meet me at Coach House New York on Sept. 13! ,,,
184.0,img/insta184,Also so stoked I got to show you a sneak peak at my bag I designed ,,,
186.0,img/insta186,Ahhh!💕thank you Instyle!! wearing dress for the September cover! Photograph by Story by Hair for Makeup Fashion Editor Manicure: (basically the entire squad) ,,,
187.0,img/insta187,Fetish Video directed by and ft. coming Wednesday. ,,,
188.0,img/insta188,Fetish Video directed by and ft. coming Wednesday. ,,,
189.0,img/insta189,My people ,,,
190.0,img/insta190,My Petra 💕 ,,,
191.0,img/insta191,Thank you for all of my bday love. I couldn't be more blessed. A lot of you don't realize how much you mean to me. I. Love. You. --think 25 is going to be epic. xo ,,,
192.0,img/insta192,"I'm not surprised, I sympathize. ",,,
193.0,img/insta193,"I'm not surprised, I sympathize. ",,,
194.0,img/insta194,Fetish. Thursday. ,,,
195.0,img/insta195,Fetish. Thursday. ,,,
196.0,img/insta196,JULY 13 ,,,
197.0,img/insta197,JULY 13 ,,,
198.0,img/insta198,JULY 13 ,,,
199.0,img/insta199,FETISH ,,,
200.0,img/insta200,FETISH ,,,
201.0,img/insta201,FETISH ,,,
203.0,img/insta203,family ,,,
204.0,img/insta204,Fall 2017 campaign. Thank you ,,,
205.0,img/insta205,Badliar --- ,,,
207.0,img/insta207,🌈 thanks for watching the music video ,,,
208.0,img/insta208,Bad Liar video 🌈 ,,,
209.0,img/insta209,Bad Liar with the all time brilliant Jesse Peretz ,,,
210.0,img/insta210,Bad Liar music video is out by the way 😏 ,,,
211.0,img/insta211,- a film ,,,
212.0,img/insta212,Coming soon ,,,
213.0,img/insta213,Wednesday. ,,,
214.0,img/insta214,💕 ,,,
215.0,img/insta215,My heart will forever and always be with people. There's never enough I could do to thank you but more importantly show you that YOU matter and are beyond watched over. ,,,
216.0,img/insta216,NY ,,,
217.0,img/insta217,🙏🏼 ,,,
218.0,img/insta218,What's to come is never what they expect 💕 thank you for inspiring me to be me ,,,
221.0,img/insta221,date night ,,,
222.0,img/insta222,5.18 ,,,
223.0,img/insta223,5.18 ,,,
224.0,img/insta224,5.18 ,,,
225.0,img/insta225,5.18 ,,,
226.0,img/insta226,5.18 ,,,
227.0,img/insta227,5.18 ,,,
228.0,img/insta228,5.18 ,,,
232.0,img/insta232,As the new face of they gave me the opportunity to personalize this bag for my Momma (that I’m pretty sure my sister is going to steal anyhow). This is a very common exchange between the two of us. Happy (early) Mother’s Day to the woman who is the reason for my existence. ,,,
235.0,img/insta235,So proud and grateful to and for tonight. Thank you so much Anna for a beautiful event and for what you do. ,,,
236.0,img/insta236,Because it should be fun and truly authentic my crew 💕 ,,,
237.0,img/insta237,5th time being apart of the 2nd time hosting this amazing event. They have inspired and provided a platform to help kids and families be THE movement. They prove that you can do anything you set your mind to. No matter what age. ,,,
239.0,img/insta239,Very much in my feelings about my big brother getting married. Even though we for sure knew it would be him first. May God bless you and your beautiful wife Henrie! 💕 ,,,
241.0,img/insta241,always playing and working on something magical 💕 ,,,
242.0,img/insta242,Wish the rest of the crew was with us today. Overwhelmed with the response and love is receiving. Thank you to each beautiful person who has watched and talked about the message of our show. ,,,
243.0,img/insta243,"Our show came out tonight and I couldn't be more overwhelmed with pride and joy. After 7 years of holding onto this book, I couldn't of picked a better time for this message to exist. Jay Asher wrote a beautifully tragic, compelling story and we were lucky to have brought it to life. Thank you to every single soul that put their heart into this passion project ",,,
245.0,img/insta245,is celebrating world kindness day and I got to spend it with people who fully will change our world one day. introduced me to which is an after school organization that encourages girls to believe that they have the capability to do anything they set their mind to. It's crazy to me how much they are willing put others before themselves. ,,,
247.0,img/insta247,Wearing for !! ,,,
248.0,img/insta248,I want to thank Rob Haskell for writing my story. I was a little nervous at how honest I was but you depicted where I'm at perfectly. I'm so grateful ❤️ ,,,
249.0,img/insta249,Ok freaking out a little. Thrilled to share my first American cover with you! Read the story and see the full spread in the link in my bio. Photographed by and ,,,
253.0,img/insta253,"Today I watched a sermon from one of my favorites. “I don’t really understand myself, for I want to do what is right, but I don’t do it. Instead, I do what I hate.” Romans 7:15 ",,,
255.0,img/insta255,"Thank you fam for 110. I promise I will continue to cherish my platform and speaking truth but more importantly, each and every one of you have changed my life. I'm very grateful. ",,,
256.0,img/insta256,Proud of my trainers husband cause he's goals for real ,,,
260.0,img/insta260,I have a full crush on ,,,
261.0,img/insta261,Thursday. ,,,
262.0,img/insta262,Morning walks ,,,
263.0,img/insta263,"What 13 reasons why has represented was an authentic story of what every kid deals with in every day life. The pressure, the unrealistic expectations of what they believe they should be. Whether you have read this book or not, it's a story of what every kid does and will continue to go through - unless we keep talking about it. People are hurting and deserve to be heard. Tired of others portraying a false idea of what every day life is. I hope can enlighten people to what words mean when you say them. ",,,
264.0,img/insta264,After 6 years waiting to find the perfect Hannah and Clay for I couldn't be luckier we cast these two 💜 ,,,
266.0,img/insta266,"Helping the guys get ready for the Grammys. I said ""anything Gosling would wear please."" ",,,
267.0,img/insta267,My boy 😍 ,,,
270.0,img/insta270,my momma. I sit back and think about how much she has done and shown me.. it truly has blown me away. She teaches me most about life and I couldn't be luckier to have a partner like her in life ,,,
272.0,img/insta272,My world 😍 ,,,
273.0,img/insta273,I love you ,,,
275.0,img/insta275,"This was the day I was nervous as hell going into for the first time to talk about -my mom found this book in 2009 and worked her ass off to make it with me, guide me and tell this story authentically (the only reason, beside Jay this project was even made) ",,,
277.0,img/insta277,Vente pa' ca ,,,
278.0,img/insta278,Being able to create is my favorite thing in the whole world. I'm so excited to be a part of the vision and family AND I get the honor to design with -ahhhhhh ,,,
279.0,img/insta279,I have a lot to be thankful for this year.. My year has been the hardest yet most rewarding one yet. I've finally fought the fight of not 'being enough'. I have only wanted to reflect the love you guys have given me for years and show how important it is to take care of YOU. By grace through faith. Kindness always wins. I love you guys. God bless ,,,
281.0,img/insta281,One of my favorite nights on tour ,,,
282.0,img/insta282,My entire heart ,,,
283.0,img/insta283,My whole life. You matter most. Thank you for letting me do what I love every day. ,,,
284.0,img/insta284,My love and I ,,,
285.0,img/insta285,Nobody loves me like you do 🙏🏽 ,,,
286.0,img/insta286,💜 in ,,,
287.0,img/insta287,My first cover came out -thank you so much! So grateful ,,,
288.0,img/insta288,Japan ,,,
289.0,img/insta289,"My sweet, hilarious and crazy soul my life completely changed when I met you. Thank you for putting up with me. You're for LIFE. I love you more than you hate affection. Happy bday ",,,
290.0,img/insta290,my girlies 💘 -too many stories ,,,
291.0,img/insta291,the boys 💘 ,,,
292.0,img/insta292,-grateful ,,,
293.0,img/insta293,Singapore ,,,
296.0,img/insta296,"KL, from the car ",,,
297.0,img/insta297,Beautiful people 😍 ,,,
300.0,img/insta300,focus ,,,
301.0,img/insta301,when your lyrics are on the bottle 😛 ,,,
302.0,img/insta302,after two weeks on the studio bus safe to say this next album is 👅💋 --- its just starting tho ,,,
303.0,img/insta303,a few of my favs from our fam ❤️ ,,,
305.0,img/insta305,The one thing that gets me going before anything.. Sheldon Cooper -Big Bang Theory ,,,
306.0,img/insta306,preshow ,,,
307.0,img/insta307,My godson watching his tia on stage -happy fathers day ,,,
308.0,img/insta308,Checking ,,,
309.0,img/insta309,Happy to finally share my first campaign --thank you and love you 📸 ,,,
